,AIRLINE,ARRIVAL_DELAY
1401,WN,-20.0
1402,WN,-14.0
1403,WN,-6.0
1404,UA,-31.0
1405,UA,8.0
1406,UA,-9.0
1407,AA,49.0
1408,AA,-24.0
1409,AA,4.0
1410,AA,6.0
1411,B6,-17.0
1412,B6,-26.0
1413,DL,-3.0
1414,DL,-14.0
1415,DL,3.0
1416,EV,8.0
1417,MQ,224.0
1418,OO,-8.0
1419,EV,-9.0
1420,OO,26.0
1421,OO,21.0
1422,OO,15.0
1423,OO,-8.0
1424,UA,23.0
1425,UA,-24.0
1426,B6,-24.0
1427,EV,3.0
1428,OO,104.0
1429,OO,12.0
1430,UA,-14.0
1431,UA,-2.0
1432,UA,-11.0
1433,UA,24.0
1434,EV,9.0
1435,OO,25.0
1436,US,6.0
1437,UA,-14.0
1438,AA,5.0
1439,DL,-33.0
1440,DL,-26.0
1441,OO,14.0
1442,OO,-6.0
1443,OO,-1.0
1444,UA,-1.0
1445,UA,14.0
1446,UA,13.0
1447,US,-6.0
1448,US,-8.0
1449,US,2.0
1450,US,-15.0
1451,UA,-34.0
1452,UA,9.0
1453,UA,-30.0
1454,VX,-6.0
1455,VX,-31.0
1456,VX,-6.0
1457,VX,-22.0
1458,VX,-16.0
1459,VX,-7.0
1460,WN,-32.0
1461,WN,-19.0
1462,WN,-16.0
1463,WN,-13.0
1464,WN,-12.0
1465,WN,-25.0
1466,WN,-12.0
1467,WN,20.0
1468,WN,-20.0
1469,WN,-15.0
1470,WN,-11.0
1471,WN,-10.0
1472,WN,4.0
1473,UA,-14.0
1474,UA,-28.0
1475,UA,15.0
1476,UA,-10.0
1477,UA,3.0
1478,UA,-21.0
1479,UA,-9.0
1480,US,-21.0
1481,US,-16.0
1482,US,35.0
1483,AA,48.0
1484,AA,2.0
1485,AA,78.0
1486,AA,-13.0
1487,AA,-6.0
1488,AA,-20.0
1489,AA,-9.0
1490,AA,21.0
1491,AA,78.0
1492,AA,2.0
1493,AA,94.0
1494,AA,-12.0
1495,AA,21.0
1496,AA,-11.0
1497,AA,21.0
1498,AA,-10.0
1499,AA,129.0
1500,AS,-23.0
1501,AS,-21.0
1502,AS,-27.0
1503,AS,-2.0
1504,AS,-22.0
1505,AS,1.0
1506,AS,-5.0
1507,AS,-32.0
1508,AS,-14.0
1509,AS,-17.0
1510,AS,7.0
1511,AS,-30.0
1512,AS,2.0
1513,B6,-20.0
1514,B6,-4.0
1515,B6,-6.0
1516,B6,-2.0
1517,B6,-19.0
1518,B6,-7.0
1519,B6,-40.0
1520,B6,-7.0
1521,B6,-10.0
1522,DL,-25.0
1523,DL,55.0
1524,DL,2.0
1525,DL,-4.0
1526,DL,-11.0
1527,DL,-15.0
1528,DL,-22.0
1529,DL,-14.0
1530,DL,-13.0
1531,DL,-9.0
1532,DL,0.0
1533,DL,19.0
1534,DL,-13.0
1535,DL,-21.0
1536,DL,-9.0
1537,DL,-27.0
1538,DL,27.0
1539,DL,-3.0
1540,DL,-8.0
1541,DL,-27.0
1542,DL,-17.0
1543,DL,-12.0
1544,DL,10.0
1545,DL,3.0
1546,B6,-24.0
1547,B6,0.0
1548,EV,-12.0
1549,EV,-8.0
1550,EV,7.0
1551,EV,-4.0
1552,EV,33.0
1553,F9,-26.0
1554,HA,-12.0
1555,HA,4.0
1556,HA,-4.0
1557,HA,-4.0
1558,MQ,-12.0
1559,MQ,14.0
1560,MQ,25.0
1561,EV,15.0
1562,NK,18.0
1563,NK,-7.0
1564,OO,-13.0
1565,OO,179.0
1566,OO,65.0
1567,OO,-35.0
1568,OO,38.0
1569,OO,-12.0
1570,OO,-16.0
1571,OO,-20.0
1572,OO,78.0
1573,OO,-8.0
1574,OO,41.0
1575,UA,-9.0
1576,NK,-5.0
1577,UA,1.0
1578,UA,-1.0
1579,UA,18.0
1580,B6,-10.0
1581,OO,18.0
1582,EV,-23.0
1583,UA,-5.0
1584,B6,-14.0
1585,DL,-6.0
1586,OO,14.0
1587,OO,24.0
1588,US,16.0
1589,US,10.0
1590,US,25.0
1591,WN,-3.0
1592,WN,-19.0
1593,WN,-9.0
1594,WN,-15.0
1595,WN,-16.0
1596,WN,-10.0
1597,WN,-3.0
1598,WN,-18.0
1599,WN,-6.0
1600,WN,-26.0
1601,UA,31.0
1602,UA,-14.0
1603,UA,17.0
1604,UA,-5.0
1605,UA,-1.0
1606,UA,17.0
1607,US,4.0
1608,US,11.0
1609,AA,20.0
1610,AA,-23.0
1611,AA,-9.0
1612,AA,-6.0
1613,AS,9.0
1614,DL,-16.0
1615,DL,-5.0
1616,DL,-6.0
1617,F9,-15.0
1618,F9,29.0
1619,MQ,72.0
1620,OO,-18.0
1621,OO,-19.0
1622,OO,0.0
1623,OO,27.0
1624,OO,-10.0
1625,OO,16.0
1626,OO,-20.0
1627,OO,22.0
1628,OO,-9.0
1629,OO,0.0
1630,OO,-17.0
1631,B6,-20.0
1632,OO,8.0
1633,OO,-3.0
1634,OO,-5.0
1635,OO,6.0
1636,UA,14.0
1637,UA,7.0
1638,EV,84.0
1639,HA,9.0
1640,OO,-5.0
1641,UA,-14.0
1642,DL,-36.0
1643,OO,-2.0
1644,OO,42.0
1645,UA,1.0
1646,UA,-4.0
1647,UA,11.0
1648,US,-20.0
1649,US,1.0
1650,US,0.0
1651,UA,-27.0
1652,VX,-23.0
1653,WN,-26.0
1654,WN,-12.0
1655,WN,28.0
1656,WN,-17.0
1657,WN,-16.0
1658,WN,19.0
1659,WN,-15.0
1660,WN,-13.0
1661,WN,-3.0
1662,WN,29.0
1663,UA,-25.0
1664,US,-1.0
1665,US,-9.0
1666,AA,-30.0
1667,AA,2.0
1668,AS,5.0
1669,B6,4.0
1670,B6,-6.0
1671,B6,-6.0
1672,DL,-18.0
1673,DL,1.0
1674,DL,4.0
1675,DL,-1.0
1676,DL,-10.0
1677,DL,-3.0
1678,EV,-12.0
1679,EV,-6.0
1680,EV,-27.0
1681,EV,-9.0
1682,EV,-31.0
1683,EV,-14.0
1684,EV,-33.0
1685,F9,-14.0
1686,HA,52.0
1687,MQ,-7.0
1688,MQ,-17.0
1689,NK,5.0
1690,NK,-21.0
1691,NK,25.0
1692,OO,17.0
1693,UA,-17.0
1694,UA,-24.0
1695,UA,-9.0
1696,UA,-2.0
1697,DL,3.0
1698,OO,-2.0
1699,OO,-21.0
1700,UA,-28.0
1701,UA,36.0
1702,AA,-8.0
1703,B6,-25.0
1704,UA,16.0
1705,EV,-8.0
1706,HA,-7.0
1707,B6,-21.0
1708,EV,-16.0
1709,EV,11.0
1710,HA,1.0
1711,OO,-4.0
1712,UA,5.0
1713,UA,-14.0
1714,US,5.0
1715,US,28.0
1716,US,-11.0
1717,US,-5.0
1718,US,8.0
1719,WN,-2.0
1720,WN,-7.0
1721,WN,62.0
1722,WN,-20.0
1723,WN,16.0
1724,WN,-15.0
1725,WN,-8.0
1726,WN,-27.0
1727,WN,0.0
1728,UA,-17.0
1729,UA,-42.0
1730,US,0.0
1731,AA,23.0
1732,AA,-13.0
1733,AA,12.0
1734,AA,-21.0
1735,AA,25.0
1736,AA,-5.0
1737,AA,26.0
1738,AA,20.0
1739,AA,-29.0
1740,AS,-17.0
1741,AS,-21.0
1742,B6,2.0
1743,B6,-19.0
1744,B6,27.0
1745,B6,-26.0
1746,DL,13.0
1747,DL,-5.0
1748,DL,-34.0
1749,DL,-14.0
1750,DL,7.0
1751,AA,-8.0
1752,DL,19.0
1753,DL,-17.0
1754,DL,-29.0
1755,DL,-19.0
1756,DL,-29.0
1757,DL,-15.0
1758,DL,-4.0
1759,EV,-19.0
1760,EV,39.0
1761,F9,2.0
1762,MQ,28.0
1763,MQ,-16.0
1764,MQ,-29.0
1765,MQ,-9.0
1766,MQ,-5.0
1767,NK,-14.0
1768,OO,-10.0
1769,OO,4.0
1770,OO,88.0
1771,OO,-11.0
1772,UA,-9.0
1773,DL,2.0
1774,EV,-7.0
1775,EV,-22.0
1776,OO,-4.0
1777,HA,-7.0
1778,UA,-8.0
1779,B6,40.0
1780,NK,-17.0
1781,UA,3.0
1782,US,-9.0
1783,UA,-8.0
1784,VX,-26.0
1785,VX,3.0
1786,WN,4.0
1787,WN,2.0
1788,WN,-6.0
1789,WN,-15.0
1790,WN,1.0
1791,WN,0.0
1792,WN,-8.0
1793,UA,-18.0
1794,UA,16.0
1795,UA,21.0
1796,UA,0.0
1797,UA,1.0
1798,UA,-31.0
1799,US,-1.0
1800,US,35.0
1801,AA,10.0
1802,AA,-4.0
1803,B6,96.0
1804,DL,-16.0
1805,DL,-14.0
1806,DL,-17.0
1807,DL,-21.0
1808,DL,-11.0
1809,DL,-26.0
1810,DL,-25.0
1811,EV,1.0
1812,EV,-3.0
1813,F9,-16.0
1814,HA,-8.0
1815,MQ,21.0
1816,OO,20.0
1817,OO,-11.0
1818,OO,8.0
1819,OO,9.0
1820,UA,-6.0
1821,DL,10.0
1822,OO,12.0
1823,DL,-3.0
1824,DL,5.0
1825,EV,3.0
1826,UA,-13.0
1827,UA,60.0
1828,UA,-17.0
1829,EV,8.0
1830,OO,81.0
1831,US,-15.0
1832,UA,-8.0
1833,US,-4.0
1834,US,2.0
1835,US,-4.0
1836,UA,76.0
1837,UA,-12.0
1838,WN,1.0
1839,WN,35.0
1840,WN,-4.0
1841,WN,-21.0
1842,WN,-12.0
1843,US,-31.0
1844,AA,-15.0
1845,AA,-25.0
1846,AA,-4.0
1847,AA,8.0
1848,AS,-30.0
1849,B6,17.0
1850,DL,-5.0
1851,DL,-18.0
1852,DL,-11.0
1853,DL,30.0
1854,DL,-14.0
1855,DL,-11.0
1856,MQ,-31.0
1857,NK,-13.0
1858,OO,-2.0
1859,OO,2.0
1860,UA,-8.0
1861,DL,-11.0
1862,UA,-13.0
1863,F9,-13.0
1864,OO,18.0
1865,OO,270.0
1866,UA,-2.0
1867,UA,-21.0
1868,B6,-9.0
1869,US,0.0
1870,US,-2.0
1871,UA,-4.0
1872,UA,37.0
1873,UA,-12.0
1874,UA,-27.0
1875,VX,-28.0
1876,WN,-12.0
1877,WN,4.0
1878,WN,-6.0
1879,WN,5.0
1880,WN,-2.0
1881,WN,-11.0
1882,WN,-12.0
1883,WN,-15.0
1884,WN,-11.0
1885,WN,-8.0
1886,WN,-18.0
1887,WN,5.0
1888,UA,-1.0
1889,UA,-13.0
1890,UA,-9.0
1891,US,10.0
1892,AA,310.0
1893,AA,-12.0
1894,AA,-2.0
1895,AA,-13.0
1896,AA,33.0
1897,AA,-14.0
1898,AA,-11.0
1899,AA,-12.0
1900,AA,-3.0
1901,AS,-2.0
1902,AS,-25.0
1903,B6,11.0
1904,B6,-16.0
1905,B6,-8.0
1906,B6,4.0
1907,B6,-5.0
1908,DL,83.0
1909,DL,-33.0
1910,DL,0.0
1911,DL,8.0
1912,DL,150.0
1913,DL,8.0
1914,DL,-18.0
1915,AA,-34.0
1916,AA,16.0
1917,DL,-27.0
1918,DL,-11.0
1919,DL,15.0
1920,DL,-10.0
1921,DL,27.0
1922,DL,-2.0
1923,DL,-31.0
1924,DL,-17.0
1925,B6,-6.0
1926,EV,8.0
1927,EV,6.0
1928,EV,-22.0
1929,F9,-2.0
1930,F9,-16.0
1931,MQ,-16.0
1932,MQ,-19.0
1933,MQ,-5.0
1934,NK,-14.0
1935,NK,43.0
1936,OO,0.0
1937,OO,-16.0
1938,OO,3.0
1939,OO,-10.0
1940,OO,-14.0
1941,OO,-6.0
1942,OO,-24.0
1943,OO,-14.0
1944,OO,14.0
1945,B6,-8.0
1946,DL,-11.0
1947,EV,20.0
1948,HA,40.0
1949,OO,6.0
1950,OO,16.0
1951,OO,-16.0
1952,DL,-18.0
1953,EV,0.0
1954,OO,-6.0
1955,UA,-12.0
1956,US,14.0
1957,US,-23.0
1958,US,-22.0
1959,UA,-4.0
1960,WN,-6.0
1961,WN,-14.0
1962,WN,3.0
1963,WN,2.0
1964,WN,-22.0
1965,WN,-10.0
1966,WN,-14.0
1967,WN,-13.0
1968,WN,-4.0
1969,WN,-19.0
1970,US,116.0
1971,US,-5.0
1972,US,-7.0
1973,AA,-16.0
1974,AA,-11.0
1975,AA,-14.0
1976,AA,-10.0
1977,AS,-3.0
1978,AS,-7.0
1979,AS,-21.0
1980,B6,-6.0
1981,B6,-21.0
1982,DL,3.0
1983,DL,-13.0
1984,DL,-39.0
1985,DL,-3.0
1986,DL,-18.0
1987,DL,-16.0
1988,DL,-23.0
1989,DL,-26.0
1990,DL,-37.0
1991,F9,-12.0
1992,MQ,30.0
1993,MQ,-21.0
1994,NK,-22.0
1995,OO,-1.0
1996,OO,5.0
1997,OO,0.0
1998,OO,0.0
1999,OO,-9.0
2000,OO,3.0
2001,UA,-9.0
2002,B6,0.0
2003,DL,-19.0
2004,EV,-4.0
2005,UA,8.0
2006,NK,5.0
2007,OO,88.0
2008,OO,2.0
2009,OO,-9.0
2010,B6,-11.0
2011,EV,8.0
2012,EV,-6.0
2013,F9,8.0
2014,NK,-5.0
2015,UA,-26.0
2016,NK,11.0
2017,OO,0.0
2018,OO,-9.0
2019,OO,4.0
2020,OO,-12.0
2021,UA,-21.0
2022,UA,-33.0
2023,US,-7.0
2024,UA,112.0
2025,UA,14.0
2026,VX,-2.0
2027,WN,-10.0
2028,WN,-22.0
2029,WN,-7.0
2030,WN,-20.0
2031,WN,-19.0
2032,WN,2.0
2033,WN,7.0
2034,WN,8.0
2035,WN,-14.0
2036,US,10.0
2037,AA,-12.0
2038,AA,-1.0
2039,AA,-6.0
2040,AA,52.0
2041,AA,-9.0
2042,AA,7.0
2043,AA,-16.0
2044,AA,-12.0
2045,AA,-3.0
2046,AS,16.0
2047,AS,-7.0
2048,B6,13.0
2049,DL,-18.0
2050,DL,16.0
2051,DL,-20.0
2052,DL,-23.0
2053,DL,-25.0
2054,AA,34.0
2055,EV,14.0
2056,EV,-12.0
2057,EV,-21.0
2058,HA,19.0
2059,HA,1.0
2060,NK,-1.0
2061,OO,-32.0
2062,OO,0.0
2063,OO,16.0
2064,OO,5.0
2065,OO,11.0
2066,UA,-23.0
2067,OO,-11.0
2068,UA,-11.0
2069,DL,-33.0
2070,F9,16.0
2071,HA,-7.0
2072,OO,6.0
2073,DL,-20.0
2074,US,-9.0
2075,US,-1.0
2076,US,37.0
2077,UA,4.0
2078,UA,6.0
2079,WN,-11.0
2080,WN,-2.0
2081,WN,-4.0
2082,WN,-19.0
2083,WN,-12.0
2084,WN,-14.0
2085,WN,-21.0
2086,WN,-25.0
2087,WN,-19.0
2088,WN,5.0
2089,WN,-31.0
2090,WN,-6.0
2091,WN,10.0
2092,UA,-14.0
2093,UA,-1.0
2094,US,-3.0
2095,US,-8.0
2096,US,14.0
2097,US,1.0
2098,US,-2.0
2099,US,-5.0
2100,AA,-8.0
2101,AA,-8.0
2102,AA,34.0
2103,AA,-5.0
2104,AA,-27.0
2105,AA,4.0
2106,AA,0.0
2107,AS,20.0
2108,AS,4.0
2109,B6,-15.0
2110,B6,-9.0
2111,B6,-10.0
2112,B6,-6.0
2113,DL,-6.0
2114,DL,-15.0
2115,DL,124.0
2116,DL,-36.0
2117,DL,-13.0
2118,AA,-13.0
2119,DL,5.0
2120,DL,-9.0
2121,DL,-17.0
2122,DL,-34.0
2123,DL,86.0
2124,DL,10.0
2125,DL,56.0
2126,EV,-1.0
2127,EV,0.0
2128,EV,-13.0
2129,EV,14.0
2130,F9,8.0
2131,F9,1.0
2132,HA,56.0
2133,HA,-2.0
2134,MQ,-14.0
2135,OO,8.0
2136,OO,4.0
2137,OO,7.0
2138,OO,-17.0
2139,OO,138.0
2140,UA,-14.0
2141,UA,-4.0
2142,DL,0.0
2143,EV,1.0
2144,OO,-13.0
2145,OO,65.0
2146,OO,-8.0
2147,DL,-18.0
2148,OO,13.0
2149,UA,28.0
2150,UA,-14.0
2151,UA,-29.0
2152,US,-19.0
2153,US,-22.0
2154,US,-11.0
2155,US,-13.0
2156,UA,9.0
2157,UA,-25.0
2158,WN,-25.0
2159,WN,-15.0
2160,WN,-11.0
2161,WN,-10.0
2162,WN,4.0
2163,WN,2.0
2164,WN,38.0
2165,WN,-3.0
2166,WN,-21.0
2167,WN,-8.0
2168,WN,-4.0
2169,WN,-9.0
2170,WN,-2.0
2171,WN,-10.0
2172,WN,-9.0
2173,WN,5.0
2174,WN,-24.0
2175,WN,-12.0
2176,UA,-11.0
2177,UA,-12.0
2178,US,1.0
2179,US,-6.0
2180,AA,-12.0
2181,AA,194.0
2182,AA,27.0
2183,AA,-7.0
2184,AS,-28.0
2185,DL,-20.0
2186,DL,7.0
2187,DL,-19.0
2188,B6,-11.0
2189,EV,38.0
2190,EV,-3.0
2191,EV,7.0
2192,F9,-14.0
2193,HA,-6.0
2194,OO,-1.0
2195,OO,-28.0
2196,OO,-9.0
2197,OO,-26.0
2198,EV,-22.0
2199,EV,5.0
2200,OO,-4.0
2201,OO,-6.0
2202,DL,12.0
2203,EV,-12.0
2204,UA,16.0
2205,B6,10.0
2206,UA,-8.0
2207,UA,-13.0
2208,EV,11.0
2209,EV,-10.0
2210,OO,-8.0
2211,UA,95.0
2212,US,-11.0
2213,WN,13.0
2214,WN,-18.0
2215,WN,-2.0
2216,WN,-6.0
2217,WN,-8.0
2218,WN,-7.0
2219,WN,-13.0
2220,WN,-8.0
2221,WN,-16.0
2222,WN,-1.0
2223,WN,-18.0
2224,WN,-21.0
2225,WN,-18.0
2226,WN,4.0
2227,AA,-2.0
2228,AA,42.0
2229,AA,14.0
2230,AA,-7.0
2231,AA,-3.0
2232,AA,-1.0
2233,AS,10.0
2234,B6,11.0
2235,B6,-3.0
2236,DL,-11.0
2237,AA,-13.0
2238,AA,-14.0
2239,DL,5.0
2240,DL,-13.0
2241,DL,-9.0
2242,DL,17.0
2243,EV,-9.0
2244,F9,-8.0
2245,MQ,-3.0
2246,MQ,-1.0
2247,MQ,4.0
2248,MQ,2.0
2249,MQ,17.0
2250,OO,-1.0
2251,OO,9.0
2252,UA,-6.0
2253,B6,-7.0
2254,EV,-10.0
2255,DL,-17.0
2256,DL,-26.0
2257,DL,-7.0
2258,DL,-23.0
2259,EV,-2.0
2260,DL,-6.0
2261,F9,10.0
2262,US,-1.0
2263,US,-27.0
2264,US,-20.0
2265,US,7.0
2266,UA,-20.0
2267,VX,11.0
2268,VX,-7.0
2269,WN,-22.0
2270,WN,-3.0
2271,WN,-5.0
2272,WN,-7.0
2273,WN,-7.0
2274,WN,-9.0
2275,WN,11.0
2276,WN,-11.0
2277,WN,-6.0
2278,WN,13.0
2279,WN,5.0
2280,WN,-10.0
2281,WN,-13.0
2282,UA,-9.0
2283,UA,16.0
2284,UA,-22.0
2285,UA,9.0
2286,UA,-12.0
2287,UA,4.0
2288,UA,-2.0
2289,UA,-17.0
2290,AA,7.0
2291,AA,-44.0
2292,AA,7.0
2293,AA,-30.0
2294,AA,36.0
2295,AA,-17.0
2296,AA,-6.0
2297,AA,8.0
2298,AA,-7.0
2299,AA,-6.0
2300,AA,9.0
2301,AA,-11.0
2302,AA,-12.0
2303,AA,-27.0
2304,AA,-15.0
2305,AA,34.0
2306,AA,-23.0
2307,AA,23.0
2308,AA,-1.0
2309,AS,7.0
2310,AS,3.0
2311,AS,13.0
2312,AS,0.0
2313,AS,0.0
2314,AS,-4.0
2315,B6,0.0
2316,DL,-3.0
2317,DL,3.0
2318,DL,-11.0
2319,DL,-26.0
2320,DL,154.0
2321,DL,-18.0
2322,DL,3.0
2323,DL,-32.0
2324,DL,-14.0
2325,DL,-27.0
2326,DL,13.0
2327,DL,-10.0
2328,DL,31.0
2329,DL,-17.0
2330,DL,-22.0
2331,DL,25.0
2332,DL,-7.0
2333,DL,-22.0
2334,DL,-24.0
2335,B6,-13.0
2336,B6,-8.0
2337,DL,-5.0
2338,DL,2.0
2339,DL,-22.0
2340,DL,-28.0
2341,EV,-5.0
2342,EV,17.0
2343,EV,-13.0
2344,EV,12.0
2345,EV,-16.0
2346,EV,-16.0
2347,EV,-3.0
2348,EV,-2.0
2349,EV,-24.0
2350,F9,4.0
2351,HA,23.0
2352,MQ,17.0
2353,MQ,-4.0
2354,MQ,49.0
2355,MQ,12.0
2356,MQ,15.0
2357,OO,-15.0
2358,OO,-9.0
2359,OO,171.0
2360,OO,-7.0
2361,OO,-13.0
2362,OO,10.0
2363,UA,-1.0
2364,EV,-5.0
2365,OO,-3.0
2366,UA,3.0
2367,AS,-4.0
2368,EV,-13.0
2369,EV,-21.0
2370,EV,9.0
2371,EV,-14.0
2372,UA,-19.0
2373,UA,-6.0
2374,EV,-29.0
2375,OO,116.0
2376,UA,6.0
2377,DL,-9.0
2378,EV,-5.0
2379,US,-24.0
2380,US,3.0
2381,UA,25.0
2382,VX,-10.0
2383,WN,-25.0
2384,WN,-9.0
2385,WN,-13.0
2386,WN,-23.0
2387,WN,-8.0
2388,WN,-12.0
2389,WN,-10.0
2390,WN,-23.0
2391,WN,-9.0
2392,WN,-12.0
2393,WN,-2.0
2394,WN,-4.0
2395,WN,-18.0
2396,WN,-7.0
2397,UA,37.0
2398,UA,2.0
2399,AA,2.0
2400,AA,-16.0
2401,AA,137.0
2402,AS,-10.0
2403,AS,7.0
2404,AS,29.0
2405,B6,76.0
2406,B6,-19.0
2407,DL,-7.0
2408,AA,13.0
2409,DL,-10.0
2410,DL,-26.0
2411,DL,-4.0
2412,DL,-17.0
2413,DL,-4.0
2414,DL,-5.0
2415,DL,-27.0
2416,EV,-18.0
2417,EV,-11.0
2418,HA,-2.0
2419,MQ,14.0
2420,EV,34.0
2421,NK,-1.0
2422,OO,14.0
2423,OO,-12.0
2424,DL,-23.0
2425,DL,-7.0
2426,EV,5.0
2427,EV,11.0
2428,EV,20.0
2429,EV,8.0
2430,NK,31.0
2431,OO,0.0
2432,UA,-11.0
2433,EV,-17.0
2434,EV,2.0
2435,EV,4.0
2436,OO,-20.0
2437,EV,-10.0
2438,F9,2.0
2439,NK,20.0
2440,B6,-20.0
2441,EV,6.0
2442,OO,1.0
2443,OO,-6.0
2444,UA,-20.0
2445,UA,-11.0
2446,UA,-22.0
2447,OO,-16.0
2448,VX,-13.0
2449,WN,-12.0
2450,WN,-8.0
2451,WN,-20.0
2452,WN,-16.0
2453,WN,8.0
2454,WN,-5.0
2455,WN,-14.0
2456,WN,-11.0
2457,WN,-26.0
2458,WN,-7.0
2459,WN,-6.0
2460,WN,0.0
2461,WN,-3.0
2462,WN,-10.0
2463,UA,44.0
2464,AA,-26.0
2465,AA,-14.0
2466,AS,-2.0
2467,AS,110.0
2468,AS,-17.0
2469,B6,-9.0
2470,DL,-21.0
2471,DL,-13.0
2472,DL,0.0
2473,DL,-13.0
2474,B6,-12.0
2475,DL,-33.0
2476,DL,-18.0
2477,B6,0.0
2478,EV,-18.0
2479,EV,-7.0
2480,EV,-1.0
2481,EV,37.0
2482,MQ,-7.0
2483,OO,27.0
2484,OO,15.0
2485,OO,-15.0
2486,OO,3.0
2487,OO,36.0
2488,UA,19.0
2489,EV,6.0
2490,UA,-19.0
2491,B6,-12.0
2492,DL,-4.0
2493,B6,-12.0
2494,B6,-16.0
2495,EV,1.0
2496,EV,-2.0
2497,EV,-8.0
2498,DL,-11.0
2499,UA,37.0
2500,US,-9.0
2501,UA,22.0
2502,B6,1.0
2503,B6,-10.0
2504,B6,25.0
2505,OO,4.0
2506,US,0.0
2507,US,4.0
2508,US,-13.0
2509,US,2.0
2510,VX,3.0
2511,WN,3.0
2512,WN,12.0
2513,WN,-10.0
2514,WN,-7.0
2515,WN,-6.0
2516,WN,-21.0
2517,WN,-1.0
2518,WN,3.0
2519,WN,1.0
2520,WN,1.0
2521,WN,-27.0
2522,WN,-17.0
2523,WN,-10.0
2524,UA,2.0
2525,UA,6.0
2526,US,-15.0
2527,AA,-5.0
2528,AA,2.0
2529,AA,-11.0
2530,AA,2.0
2531,AA,20.0
2532,AS,-13.0
2533,DL,-6.0
2534,DL,-20.0
2535,DL,-5.0
2536,DL,11.0
2537,DL,-12.0
2538,DL,-10.0
2539,DL,-13.0
2540,DL,-21.0
2541,DL,-9.0
2542,EV,-2.0
2543,EV,-12.0
2544,EV,-9.0
2545,HA,-3.0
2546,MQ,56.0
2547,NK,2.0
2548,NK,-1.0
2549,OO,7.0
2550,OO,-13.0
2551,OO,4.0
2552,OO,1.0
2553,OO,18.0
2554,EV,12.0
2555,NK,-4.0
2556,OO,18.0
2557,UA,91.0
2558,NK,8.0
2559,UA,23.0
2560,EV,15.0
2561,HA,-2.0
2562,UA,50.0
2563,UA,-20.0
2564,US,0.0
2565,US,10.0
2566,US,-13.0
2567,UA,-22.0
2568,VX,46.0
2569,VX,-10.0
2570,WN,-2.0
2571,WN,-5.0
2572,WN,-2.0
2573,WN,-3.0
2574,WN,-5.0
2575,WN,-18.0
2576,WN,-15.0
2577,WN,-18.0
2578,WN,-11.0
2579,WN,2.0
2580,UA,-24.0
2581,UA,-5.0
2582,UA,-25.0
2583,AA,2.0
2584,AA,17.0
2585,AA,-8.0
2586,AA,-10.0
2587,AA,17.0
2588,AS,-3.0
2589,AS,-1.0
2590,AS,-19.0
2591,B6,-6.0
2592,DL,1.0
2593,AA,-8.0
2594,DL,-1.0
2595,DL,16.0
2596,DL,5.0
2597,DL,25.0
2598,EV,24.0
2599,EV,-13.0
2600,EV,-31.0
2601,F9,63.0
2602,HA,65.0
2603,MQ,-11.0
2604,MQ,-8.0
2605,MQ,9.0
2606,OO,8.0
2607,OO,-2.0
2608,OO,5.0
2609,B6,7.0
2610,OO,6.0
2611,UA,-18.0
2612,UA,17.0
2613,OO,174.0
2614,OO,-18.0
2615,US,-11.0
2616,US,-11.0
2617,US,-4.0
2618,US,21.0
2619,US,14.0
2620,US,2.0
2621,US,-17.0
2622,VX,-1.0
2623,WN,60.0
2624,WN,-9.0
2625,WN,12.0
2626,WN,-7.0
2627,WN,-3.0
2628,WN,-11.0
2629,WN,15.0
2630,WN,1.0
2631,WN,-12.0
2632,WN,5.0
2633,WN,-5.0
2634,WN,3.0
2635,UA,-14.0
2636,AA,51.0
2637,AA,-21.0
2638,AA,-5.0
2639,AA,-8.0
2640,AA,10.0
2641,AA,35.0
2642,B6,-5.0
2643,B6,3.0
2644,B6,0.0
2645,DL,-20.0
2646,DL,-18.0
2647,AA,-11.0
2648,DL,-15.0
2649,EV,-32.0
2650,EV,-16.0
2651,OO,5.0
2652,OO,13.0
2653,UA,-7.0
2654,NK,-2.0
2655,NK,32.0
2656,OO,34.0
2657,OO,3.0
2658,UA,-12.0
2659,UA,-13.0
2660,UA,-9.0
2661,EV,6.0
2662,EV,-13.0
2663,HA,4.0
2664,HA,5.0
2665,HA,45.0
2666,OO,9.0
2667,OO,-1.0
2668,NK,-19.0
2669,OO,132.0
2670,US,4.0
2671,UA,-10.0
2672,DL,18.0
2673,DL,-6.0
2674,US,17.0
2675,US,-9.0
2676,UA,-10.0
2677,VX,-14.0
2678,WN,-3.0
2679,WN,-9.0
2680,WN,-2.0
2681,WN,-28.0
2682,WN,-5.0
2683,WN,-17.0
2684,WN,-10.0
2685,WN,-8.0
2686,WN,-6.0
2687,WN,-19.0
2688,WN,-11.0
2689,WN,-17.0
2690,WN,20.0
2691,UA,43.0
2692,UA,-13.0
2693,US,-10.0
2694,US,0.0
2695,AA,184.0
2696,AA,-17.0
2697,AA,-16.0
2698,AA,-9.0
2699,AA,-15.0
2700,AA,77.0
2701,AA,4.0
2702,AA,5.0
2703,AA,-1.0
2704,AS,1.0
2705,AS,9.0
2706,B6,-31.0
2707,DL,-13.0
2708,DL,-19.0
2709,DL,-12.0
2710,AA,15.0
2711,DL,-14.0
2712,DL,-24.0
2713,DL,142.0
2714,DL,2.0
2715,DL,-3.0
2716,DL,-27.0
2717,DL,-21.0
2718,DL,-11.0
