,AIRLINE,ARRIVAL_DELAY
331,UA,-20.0
332,EV,-9.0
333,HA,-2.0
334,OO,17.0
335,OO,144.0
336,UA,0.0
337,UA,-32.0
338,UA,-14.0
339,EV,-1.0
340,EV,7.0
341,F9,4.0
342,UA,19.0
343,UA,-4.0
344,US,13.0
345,US,-3.0
346,US,-26.0
347,UA,-10.0
348,WN,-9.0
349,WN,-22.0
350,WN,0.0
351,UA,-21.0
352,US,8.0
353,AA,-17.0
354,AA,11.0
355,AA,-11.0
356,AS,-3.0
357,AS,0.0
358,B6,-16.0
359,B6,-2.0
360,B6,-14.0
361,B6,28.0
362,B6,10.0
363,B6,88.0
364,DL,-26.0
365,DL,39.0
366,DL,-2.0
367,EV,19.0
368,EV,-24.0
369,F9,-19.0
370,F9,6.0
371,F9,52.0
372,HA,-1.0
373,OO,9.0
374,OO,-3.0
375,UA,-2.0
376,UA,-37.0
377,OO,2.0
378,NK,7.0
379,OO,-9.0
380,UA,-14.0
381,UA,-21.0
382,EV,4.0
383,OO,-23.0
384,HA,-4.0
385,OO,12.0
386,OO,-13.0
387,US,15.0
388,WN,-24.0
389,UA,-29.0
390,UA,-20.0
391,AA,-18.0
392,AA,-6.0
393,AA,-17.0
394,AA,-11.0
395,AS,-8.0
396,AS,-4.0
397,B6,-24.0
398,B6,-11.0
399,B6,-14.0
400,B6,-35.0
401,AA,-8.0
402,DL,-31.0
403,DL,93.0
404,B6,19.0
405,EV,-3.0
406,EV,12.0
407,F9,40.0
408,MQ,-15.0
409,MQ,-25.0
410,MQ,-4.0
411,OO,-29.0
412,AA,-28.0
413,B6,-20.0
414,EV,28.0
415,NK,-9.0
416,UA,-13.0
417,B6,-23.0
418,HA,11.0
419,OO,-10.0
420,US,-5.0
421,US,-7.0
422,WN,116.0
423,WN,-7.0
424,WN,-4.0
425,AA,-13.0
426,AA,-6.0
427,AS,-5.0
428,B6,-23.0
429,B6,90.0
430,B6,8.0
431,DL,-13.0
432,DL,-10.0
433,DL,-13.0
434,DL,3.0
435,DL,16.0
436,DL,-44.0
437,DL,-3.0
438,DL,-4.0
439,EV,376.0
440,EV,-24.0
441,EV,-11.0
442,EV,36.0
443,EV,9.0
444,EV,-12.0
445,F9,14.0
446,F9,-12.0
447,MQ,161.0
448,MQ,-20.0
449,OO,-9.0
450,OO,13.0
451,OO,-1.0
452,OO,11.0
453,OO,-5.0
454,OO,-10.0
455,OO,56.0
456,OO,-15.0
457,OO,10.0
458,NK,-19.0
