ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents_origin,parents,TOTAL_FLIGHTS,ids2,DESTINATION_AIRPORT,FLIGHT_COUNT_DESTINATION,AVERAGE_ARRIVAL_DELAY,parents_destination
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,421,FCA,292,-1.5308219178082192,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,427,FLL,10508,0.1354206318995051,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,434,FNT,925,2.6983783783783784,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,439,FSD,426,5.694835680751174,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,455,GEG,1440,-2.2694444444444444,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,467,GNV,272,2.360294117647059,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,470,GPT,1131,-0.93368700265252,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,473,GRB,617,0.2366288492706645,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,480,GRR,2819,1.2068109258602342,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,487,GSO,1891,1.4849286092014806,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,493,GSP,1671,1.666068222621185,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,508,HDN,95,-0.7473684210526316,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,516,HNL,2750,5.784727272727273,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,524,HOU,1692,-5.224586288416075,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,534,HSV,1760,0.86875,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,542,IAD,2355,-1.073036093418259,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,552,IAH,2916,-0.8388203017832647,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,561,ICT,858,-2.509324009324009,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,571,ILM,348,5.818965517241379,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,577,IND,4386,0.7544459644322845,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,594,JAC,768,-0.484375,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,597,JAN,1894,-0.7940865892291447,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,602,JAX,4222,3.820464234959735,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,612,JFK,25022,5.761250099912077,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,622,JNU,139,3.8633093525179856,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,626,KOA,347,3.971181556195965,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,632,LAN,4,-4.5,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,639,LAS,10588,-1.0867019267094824,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,653,LAX,25076,2.135468176742702,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,671,LEX,991,-0.4490413723511604,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,675,LFT,340,0.923529411764706,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,681,LGA,23657,9.840681405080948,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,695,LIH,334,5.925149700598802,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,700,LIT,1926,-1.0134994807892004,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,720,MCI,5065,0.5658440276406713,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,732,MCO,15292,2.987967564739733,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,741,MDT,922,-0.7245119305856833,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,748,MDW,2504,-0.5291533546325878,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,755,MEM,4067,0.3493975903614458,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,773,MHT,443,0.0474040632054176,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,777,MIA,8423,0.0655348450670782,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,784,MKE,4646,-0.7096427034007748,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,792,MLB,1259,1.7903097696584591,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,801,MOB,454,6.561674008810573,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,805,MOT,4,-7.75,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,812,MSN,2523,0.2065001981767736,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,818,MSO,596,-2.4731543624161074,Airports
