Unnamed: 0,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ORIGIN_AIRPORT_LAT,ORIGIN_AIRPORT_LON,DESTINATION_AIRPORT_LAT,DESTINATION_AIRPORT_LON
104,B6,BOS,BWI,42.36435,-71.00518000000001,39.1754,-76.6682
105,B6,ORD,BOS,41.9796,-87.90446,42.36435,-71.00518000000001
106,DL,PHX,DTW,33.43417,-112.00806,42.21206,-83.34884
107,DL,MCI,ATL,39.29761,-94.71391,33.640440000000005,-84.42694
108,DL,BOS,DTW,42.36435,-71.00518000000001,42.21206,-83.34884
109,EV,ATL,IAD,33.640440000000005,-84.42694,38.94453,-77.45581
110,EV,JAX,EWR,30.49406,-81.68786,40.6925,-74.16866
111,OO,MFR,DEN,42.37423,-122.8735,39.85841,-104.667
112,OO,SLC,IAH,40.78839,-111.97777,29.98047,-95.33972
113,OO,IDA,DEN,43.51456,-112.07017,39.85841,-104.667
114,F9,MSN,DEN,43.13986,-89.33751,39.85841,-104.667
115,OO,MKE,DTW,42.94722,-87.89658,42.21206,-83.34884
116,UA,GEG,DEN,47.61986,-117.53383999999998,39.85841,-104.667
117,UA,SEA,IAH,47.44898,-122.30931,29.98047,-95.33972
118,UA,DCA,IAH,38.85208,-77.03772,29.98047,-95.33972
119,AA,SAT,DFW,29.533690000000004,-98.46978,32.89595,-97.0372
120,AA,JFK,MIA,40.63975,-73.77893,25.79325,-80.29056
121,B6,BOS,PBI,42.36435,-71.00518000000001,26.68316,-80.09559
122,B6,BOS,JFK,42.36435,-71.00518000000001,40.63975,-73.77893
123,B6,JFK,BQN,40.63975,-73.77893,18.49486,-67.12944
124,DL,DFW,ATL,32.89595,-97.0372,33.640440000000005,-84.42694
125,EV,CHS,EWR,32.89865,-80.04051,40.6925,-74.16866
126,F9,MKE,DEN,42.94722,-87.89658,39.85841,-104.667
127,F9,MSP,DEN,44.88055,-93.21692,39.85841,-104.667
129,OO,DEN,LAX,39.85841,-104.667,33.94254,-118.40807
130,OO,SBA,DEN,34.42621,-119.84037,39.85841,-104.667
133,B6,BOS,BUF,42.36435,-71.00518000000001,42.94052,-78.73217
134,UA,PDX,EWR,45.58872,-122.5975,40.6925,-74.16866
135,US,IND,PHX,39.71733,-86.29438,33.43417,-112.00806
136,UA,LAX,DEN,33.94254,-118.40807,39.85841,-104.667
137,UA,CLE,IAH,41.41089,-81.8494,29.98047,-95.33972
138,UA,BOS,EWR,42.36435,-71.00518000000001,40.6925,-74.16866
139,US,DEN,PHX,39.85841,-104.667,33.43417,-112.00806
140,US,MCI,PHX,39.29761,-94.71391,33.43417,-112.00806
141,AA,AUS,DFW,30.19453,-97.66987,32.89595,-97.0372
142,AA,LAX,DFW,33.94254,-118.40807,32.89595,-97.0372
143,DL,GSP,ATL,34.89567,-82.21885999999999,33.640440000000005,-84.42694
144,B6,MCO,EWR,28.428890000000003,-81.31603,40.6925,-74.16866
145,EV,MCI,IAH,39.29761,-94.71391,29.98047,-95.33972
146,EV,BDL,IAD,41.93887,-72.68323000000001,38.94453,-77.45581
148,EV,RIC,IAH,37.50517,-77.31967,29.98047,-95.33972
149,OO,BFL,DEN,35.4336,-119.05677,39.85841,-104.667
150,OO,SAT,SFO,29.533690000000004,-98.46978,37.619,-122.37484
151,OO,OMA,IAH,41.30252,-95.89417,29.98047,-95.33972
152,OO,RDM,DEN,44.25407,-121.14996,39.85841,-104.667
153,B6,FLL,BDL,26.07258,-80.15275,41.93887,-72.68323000000001
154,EV,CID,ATL,41.88459,-91.71087,33.640440000000005,-84.42694
156,UA,MCO,LAX,28.428890000000003,-81.31603,33.94254,-118.40807
157,UA,TPA,EWR,27.97547,-82.53325,40.6925,-74.16866
158,AA,SEA,DFW,47.44898,-122.30931,32.89595,-97.0372
159,AA,BOS,DFW,42.36435,-71.00518000000001,32.89595,-97.0372
160,B6,SYR,JFK,43.11119,-76.10631,40.63975,-73.77893
161,B6,ROC,JFK,43.11887,-77.67238,40.63975,-73.77893
162,EV,TYR,DFW,32.35414,-95.40239,32.89595,-97.0372
163,EV,MCI,ORD,39.29761,-94.71391,41.9796,-87.90446
164,EV,LAN,ORD,42.7787,-84.58736,41.9796,-87.90446
165,EV,BUF,EWR,42.94052,-78.73217,40.6925,-74.16866
