AIRPORT,MEAN_DEPARTURE_DELAY,ORIGIN_LAT,ORIGIN_LON,MEAN_DESTINATION_DELAY,DESTINATION_LAT,DESTINATION_LON
CSG,0.1,32.51633,-84.93885999999999,0.1,32.51633,-84.93885999999999
CVG,0.23809523809523808,39.04614,-84.66216999999999,1.9534883720930232,39.04614,-84.66216999999999
CWA,3.5,44.77762,-89.66678,10.25,44.77762,-89.66678
DAB,0.1,29.17992,-81.05806,0.1,29.17992,-81.05806
DAL,16.0381679389313,32.84711,-96.85177,8.917293233082706,32.84711,-96.85177
DAY,0.1,39.90238,-84.21938,3.75,39.90238,-84.21938
DBQ,0.1,42.40296,-90.70917000000001,0.1,42.40296,-90.70917000000001
DCA,0.1,38.85208,-77.03772,0.1,38.85208,-77.03772
DEN,31.083916083916083,39.85841,-104.667,21.585278276481148,39.85841,-104.667
DFW,28.527508090614887,32.89595,-97.0372,23.39967897271268,32.89595,-97.0372
DHN,0.1,31.321340000000003,-85.44963,0.1,31.321340000000003,-85.44963
DIK,0.1,46.79739,-102.80195,12.0,46.79739,-102.80195
DLH,0.1,46.84209,-92.19365,0.1,46.84209,-92.19365
DRO,15.5,37.15152,-107.75377,25.0,37.15152,-107.75377
DSM,4.190476190476191,41.53493,-93.66068,21.25,41.53493,-93.66068
DTW,6.78139534883721,42.21206,-83.34884,0.1,42.21206,-83.34884
DVL,136.0,48.11425,-98.90878,123.5,48.11425,-98.90878
EAU,0.1,44.86526,-91.48507,0.1,44.86526,-91.48507
EGE,21.77777777777778,39.64257,-106.9177,7.0,39.64257,-106.9177
EKO,0.1,40.82493,-115.7917,0.1,40.82493,-115.7917
ELM,1.0,42.15991,-76.89144,0.1,42.15991,-76.89144
ELP,20.5,31.80667,-106.37781,24.2,31.806669999999997,-106.37781
ERI,6.5,42.08202,-80.17622,0.1,42.08202,-80.17622
ESC,0.1,45.72267,-87.09373000000001,0.1,45.72267,-87.09373000000001
EUG,0.1,44.12326,-123.21869,9.538461538461538,44.12326,-123.21869
EVV,30.5,38.03799,-87.53063000000002,0.1,38.03799,-87.53063
EWN,0.1,35.07297,-77.04294,0.1,35.07297,-77.04294
EWR,6.343629343629344,40.6925,-74.16866,0.1,40.6925,-74.16866
EYW,0.1,24.55611,-81.75956,0.1,24.55611,-81.75956
FAI,0.1,64.81368,-147.85967,0.1,64.81368,-147.85967
FAR,17.636363636363637,46.91935,-96.81499,30.785714285714285,46.91935,-96.81499
FAT,15.12,36.77619,-119.71814,3.12,36.77619,-119.71814
