ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT,AVERAGE_DEPARTURE_DELAY,parents_origin
132,BOI,DL,1049,2.1830314585319353,Airports
133,BOI,OO,6245,9.760768614891914,Airports
134,BOI,UA,551,14.279491833030853,Airports
135,BOI,US,393,3.4834605597964376,Airports
136,BOI,WN,2929,8.472516217138955,Airports
137,BOS,AA,17176,4.972403353516535,Airports
138,BOS,AS,1382,4.29739507959479,Airports
139,BOS,B6,37067,9.405077292470391,Airports
140,BOS,DL,13897,11.99064546304958,Airports
141,BOS,EV,2212,8.505424954792044,Airports
142,BOS,NK,2174,15.113615455381785,Airports
143,BOS,OO,252,10.226190476190476,Airports
144,BOS,UA,11002,14.595164515542628,Airports
145,BOS,US,8401,5.0960599928579935,Airports
146,BOS,VX,1542,7.114785992217898,Airports
147,BOS,WN,9699,12.386328487472936,Airports
148,BPT,EV,488,16.471311475409838,Airports
149,BPT,MQ,417,17.664268585131893,Airports
150,BQK,EV,869,8.138089758342923,Airports
151,BQN,B6,883,5.780294450736127,Airports
152,BQN,NK,161,11.099378881987578,Airports
153,BQN,UA,287,33.393728222996515,Airports
154,BRD,OO,582,-0.06529209621993128,Airports
155,BRO,EV,2114,4.475875118259224,Airports
156,BRO,MQ,92,18.902173913043477,Airports
157,BRO,OO,52,-3.173076923076923,Airports
158,BRW,AS,822,1.186131386861314,Airports
159,BTM,OO,647,0.6553323029366306,Airports
160,BTR,DL,314,9.337579617834395,Airports
161,BTR,EV,6146,10.98877318581191,Airports
162,BTR,MQ,507,10.435897435897436,Airports
163,BTR,OO,14,23.5,Airports
164,BTR,UA,2,56.0,Airports
165,BTV,B6,996,7.85140562248996,Airports
166,BTV,DL,89,1.5730337078651686,Airports
167,BTV,EV,1698,11.18080094228504,Airports
168,BTV,UA,101,4.297029702970297,Airports
169,BUF,AA,537,2.6201117318435756,Airports
170,BUF,B6,4011,6.306158065320369,Airports
171,BUF,DL,2376,5.324074074074074,Airports
172,BUF,EV,1606,8.420921544209216,Airports
